SaleID,Date,CustomerID,ProductID,Quantity,Price,SalesAmount
1,2024-10-02,110,18,7,454.59,3182.1299999999997
2,2023-07-08,77,13,5,23.26,116.30000000000001
3,2024-04-26,103,45,7,196.43,1375.01
4,2024-08-19,106,24,1,337.71,337.71
5,2024-02-10,109,23,8,124.82,998.56
6,2024-01-22,112,12,3,146.0,438.0
7,2023-06-26,58,49,7,61.17,428.19
8,2023-03-09,78,30,3,318.6,955.8000000000001
9,2024-10-16,75,31,3,270.21,810.6299999999999
10,2024-10-19,42,28,9,187.05,1683.45
11,2024-04-07,166,22,2,492.9,985.8
12,2023-09-05,68,44,4,347.01,1388.04
13,2023-09-12,181,28,6,187.05,1122.3000000000002
14,2024-06-13,33,13,3,23.26,69.78
15,2024-10-16,71,25,7,382.0,2674.0
16,2024-10-09,56,44,7,347.01,2429.0699999999997
17,2024-07-23,105,46,5,468.68,2343.4
18,2024-04-13,200,7,3,486.03,1458.09
19,2023-03-03,101,45,2,196.43,392.86
20,2023-04-28,51,6,4,185.0,740.0
21,2024-10-17,74,24,4,337.71,1350.84
22,2024-03-18,171,19,8,123.58,988.64
23,2023-01-07,121,19,8,123.58,988.64
24,2023-03-16,143,36,5,25.18,125.9
25,2024-04-29,166,9,6,129.63,777.78
26,2023-01-04,143,48,8,173.83,1390.64
27,2023-04-28,5,36,1,25.18,25.18
28,2024-02-05,83,38,5,340.39,1701.9499999999998
29,2024-05-20,182,40,4,258.49,1033.96
30,2024-04-20,51,29,4,317.99,1271.96
31,2023-06-13,10,24,2,337.71,675.42
32,2024-06-03,140,48,1,173.83,173.83
33,2023-06-23,4,5,6,352.99,2117.94
34,2023-08-26,95,42,7,324.36,2270.52
35,2024-06-28,146,45,5,196.43,982.1500000000001
36,2024-04-19,80,26,8,122.63,981.04
37,2024-09-11,36,14,9,306.73,2760.57
38,2024-04-25,25,39,2,13.21,26.42
39,2024-02-19,98,29,4,317.99,1271.96
40,2023-03-10,164,6,9,185.0,1665.0
41,2023-09-26,101,7,5,486.03,2430.1499999999996
42,2023-07-13,195,37,3,297.49,892.47
43,2023-06-28,9,18,6,454.59,2727.54
44,2024-12-11,61,23,3,124.82,374.46
45,2023-10-14,53,44,5,347.01,1735.05
46,2024-10-13,146,38,3,340.39,1021.17
47,2024-04-05,171,1,6,172.12,1032.72
48,2024-08-03,163,4,5,261.8,1309.0
49,2024-01-02,63,44,9,347.01,3123.09
50,2024-02-26,121,47,3,73.07,219.20999999999998
51,2023-12-26,105,35,6,97.33,583.98
52,2023-05-23,4,23,8,124.82,998.56
53,2024-06-11,93,27,7,365.47,2558.29
54,2023-07-24,169,26,6,122.63,735.78
55,2023-01-18,173,8,2,481.41,962.82
56,2024-04-16,178,43,7,91.31,639.1700000000001
57,2023-05-10,28,16,8,30.48,243.84
58,2024-11-17,170,41,1,117.12,117.12
59,2024-11-27,80,3,9,164.99,1484.91
60,2024-10-29,76,32,4,49.69,198.76
61,2023-09-28,116,5,8,352.99,2823.92
62,2023-01-12,69,20,7,76.72,537.04
63,2024-11-08,98,14,7,306.73,2147.11
64,2023-11-09,1,32,2,49.69,99.38
65,2024-12-06,167,26,1,122.63,122.63
66,2024-12-04,96,47,4,73.07,292.28
67,2024-09-14,17,6,2,185.0,370.0
68,2023-08-03,112,36,8,25.18,201.44
69,2023-10-09,91,40,7,258.49,1809.43
70,2024-09-13,88,5,8,352.99,2823.92
71,2023-08-20,163,13,6,23.26,139.56
72,2023-05-04,174,32,1,49.69,49.69
73,2024-02-11,170,16,9,30.48,274.32
74,2024-11-14,167,1,6,172.12,1032.72
75,2024-05-23,90,13,1,23.26,23.26
76,2024-02-21,49,11,1,153.93,153.93
77,2023-03-12,190,8,8,481.41,3851.28
78,2024-03-24,38,25,6,382.0,2292.0
79,2024-12-23,151,40,8,258.49,2067.92
80,2023-04-13,150,32,8,49.69,397.52
81,2024-01-14,132,24,8,337.71,2701.68
82,2024-10-02,177,28,7,187.05,1309.3500000000001
83,2024-06-24,59,14,7,306.73,2147.11
84,2024-05-23,68,45,4,196.43,785.72
85,2024-05-27,199,3,9,164.99,1484.91
86,2023-09-20,130,36,2,25.18,50.36
87,2023-08-03,49,27,9,365.47,3289.2300000000005
88,2024-08-13,126,20,3,76.72,230.16
89,2024-08-14,159,47,2,73.07,146.14
90,2024-09-24,111,15,4,253.83,1015.32
91,2024-10-28,168,27,5,365.47,1827.3500000000001
92,2024-01-09,48,45,2,196.43,392.86
93,2024-01-02,51,41,1,117.12,117.12
94,2024-08-05,43,28,5,187.05,935.25
95,2024-04-19,98,25,9,382.0,3438.0
96,2024-05-27,183,42,5,324.36,1621.8000000000002
97,2024-08-03,177,44,9,347.01,3123.09
98,2024-10-11,124,46,6,468.68,2812.08
99,2023-09-04,80,33,3,418.47,1255.41
100,2023-10-02,185,46,4,468.68,1874.72
101,2023-03-10,111,14,4,306.73,1226.92
102,2024-02-27,143,8,1,481.41,481.41
103,2023-01-27,27,48,3,173.83,521.49
104,2023-12-06,196,14,3,306.73,920.19
105,2024-02-01,192,1,1,172.12,172.12
106,2023-07-29,158,16,9,30.48,274.32
107,2024-03-07,164,18,1,454.59,454.59
108,2023-01-23,195,7,9,486.03,4374.2699999999995
109,2023-01-28,113,15,1,253.83,253.83
110,2024-08-23,86,24,2,337.71,675.42
111,2023-09-20,114,49,2,61.17,122.34
112,2023-04-03,124,13,6,23.26,139.56
113,2024-01-17,49,9,7,129.63,907.41
114,2024-07-16,76,15,1,253.83,253.83
115,2023-06-07,55,35,3,97.33,291.99
116,2024-03-30,56,24,2,337.71,675.42
117,2023-03-04,196,33,8,418.47,3347.76
118,2023-02-07,95,16,9,30.48,274.32
119,2024-01-23,44,8,2,481.41,962.82
120,2024-01-30,159,29,2,317.99,635.98
121,2024-04-10,186,23,9,124.82,1123.3799999999999
122,2024-06-14,87,45,4,196.43,785.72
123,2024-12-13,181,31,5,270.21,1351.05
124,2024-01-12,84,40,9,258.49,2326.41
125,2023-08-24,151,49,6,61.17,367.02
126,2024-08-03,156,14,9,306.73,2760.57
127,2023-07-17,16,30,9,318.6,2867.4
128,2023-11-17,165,39,7,13.21,92.47
129,2023-02-27,149,27,9,365.47,3289.2300000000005
130,2023-01-19,145,47,5,73.07,365.34999999999997
131,2024-12-03,37,16,5,30.48,152.4
132,2024-09-02,77,6,8,185.0,1480.0
133,2024-05-23,147,33,4,418.47,1673.88
134,2023-10-26,158,44,9,347.01,3123.09
135,2023-05-07,45,18,7,454.59,3182.1299999999997
136,2023-04-25,146,16,7,30.48,213.36
137,2023-07-02,62,12,3,146.0,438.0
138,2024-02-05,164,20,4,76.72,306.88
139,2024-06-05,100,45,7,196.43,1375.01
140,2024-04-26,52,40,5,258.49,1292.45
141,2023-07-24,19,29,3,317.99,953.97
142,2024-11-28,109,30,1,318.6,318.6
143,2024-06-22,44,26,7,122.63,858.41
144,2024-02-09,7,22,6,492.9,2957.3999999999996
145,2024-03-22,172,33,7,418.47,2929.29
146,2023-11-03,117,39,2,13.21,26.42
147,2023-06-30,68,47,4,73.07,292.28
148,2023-09-17,34,29,2,317.99,635.98
149,2024-07-07,194,22,8,492.9,3943.2
150,2023-01-11,69,45,7,196.43,1375.01
151,2023-03-26,55,13,1,23.26,23.26
152,2023-02-03,10,9,2,129.63,259.26
153,2023-01-30,42,24,2,337.71,675.42
154,2024-09-16,41,15,4,253.83,1015.32
155,2024-05-28,197,36,3,25.18,75.53999999999999
156,2023-12-13,122,13,1,23.26,23.26
157,2023-03-13,138,27,2,365.47,730.94
158,2023-12-25,10,44,9,347.01,3123.09
159,2023-12-12,102,37,1,297.49,297.49
160,2023-05-07,188,7,9,486.03,4374.2699999999995
161,2023-11-13,128,8,7,481.41,3369.8700000000003
162,2023-10-18,179,37,2,297.49,594.98
163,2024-03-25,149,41,2,117.12,234.24
164,2024-04-08,136,14,5,306.73,1533.65
165,2023-02-03,193,12,5,146.0,730.0
166,2023-10-01,92,36,4,25.18,100.72
167,2024-04-01,113,40,3,258.49,775.47
168,2024-01-03,78,17,4,142.93,571.72
169,2024-09-17,85,40,4,258.49,1033.96
170,2024-04-25,30,29,2,317.99,635.98
171,2023-04-29,49,27,5,365.47,1827.3500000000001
172,2023-02-21,9,1,5,172.12,860.6
173,2024-04-13,145,34,5,163.79,818.9499999999999
174,2023-01-20,69,4,1,261.8,261.8
175,2024-03-03,58,24,6,337.71,2026.2599999999998
176,2024-11-17,185,21,2,247.28,494.56
177,2024-02-25,62,33,7,418.47,2929.29
178,2023-10-11,52,7,4,486.03,1944.12
179,2024-04-14,189,1,5,172.12,860.6
180,2023-12-01,40,41,5,117.12,585.6
181,2024-02-03,166,3,5,164.99,824.95
182,2024-11-18,171,44,2,347.01,694.02
183,2023-10-09,63,15,5,253.83,1269.15
184,2024-12-02,147,31,3,270.21,810.6299999999999
185,2024-10-22,50,16,4,30.48,121.92
186,2023-05-23,161,10,2,251.14,502.28
187,2023-02-20,141,29,4,317.99,1271.96
188,2023-03-15,78,6,9,185.0,1665.0
189,2023-01-14,97,29,8,317.99,2543.92
190,2023-03-10,190,17,3,142.93,428.79
191,2024-05-13,43,22,1,492.9,492.9
192,2023-02-21,177,24,1,337.71,337.71
193,2023-08-21,36,17,6,142.93,857.58
194,2024-09-08,122,21,3,247.28,741.84
195,2023-01-17,108,50,4,462.72,1850.88
196,2024-08-17,10,11,1,153.93,153.93
197,2023-07-25,95,7,8,486.03,3888.24
198,2023-03-28,6,42,1,324.36,324.36
199,2024-05-23,57,39,5,13.21,66.05000000000001
200,2024-04-04,129,5,6,352.99,2117.94
201,2024-10-02,71,44,2,347.01,694.02
202,2024-06-20,186,48,7,173.83,1216.8100000000002
203,2024-08-09,21,21,7,247.28,1730.96
204,2023-07-25,92,18,1,454.59,454.59
205,2023-05-10,127,35,4,97.33,389.32
206,2024-07-01,80,20,4,76.72,306.88
207,2024-08-11,56,15,5,253.83,1269.15
208,2024-12-24,116,5,1,352.99,352.99
209,2023-10-29,148,13,1,23.26,23.26
210,2023-09-29,182,12,7,146.0,1022.0
211,2024-07-20,25,21,9,247.28,2225.52
212,2023-09-06,156,37,1,297.49,297.49
213,2024-11-10,5,6,2,185.0,370.0
214,2024-09-18,120,7,6,486.03,2916.18
215,2023-11-10,21,26,6,122.63,735.78
216,2024-07-02,18,42,2,324.36,648.72
217,2024-07-04,175,48,9,173.83,1564.47
218,2023-03-17,198,8,4,481.41,1925.64
219,2024-10-20,57,9,7,129.63,907.41
220,2024-01-04,93,27,6,365.47,2192.82
221,2024-08-26,19,4,3,261.8,785.4000000000001
222,2023-08-22,128,21,8,247.28,1978.24
223,2024-10-15,97,31,7,270.21,1891.4699999999998
224,2023-10-12,193,21,9,247.28,2225.52
225,2023-01-08,131,40,3,258.49,775.47
226,2024-10-22,170,25,1,382.0,382.0
227,2023-03-08,21,39,2,13.21,26.42
228,2023-08-22,40,15,1,253.83,253.83
229,2024-11-24,67,35,5,97.33,486.65
230,2024-11-24,153,49,2,61.17,122.34
231,2024-02-23,127,43,3,91.31,273.93
232,2024-04-06,55,41,8,117.12,936.96
233,2023-11-24,180,37,5,297.49,1487.45
234,2023-08-03,172,42,4,324.36,1297.44
235,2023-08-28,109,47,5,73.07,365.34999999999997
236,2024-05-05,98,28,6,187.05,1122.3000000000002
237,2024-07-03,184,14,7,306.73,2147.11
238,2024-07-31,183,4,9,261.8,2356.2000000000003
239,2024-07-30,112,20,1,76.72,76.72
240,2023-03-08,198,34,4,163.79,655.16
241,2023-12-27,115,12,9,146.0,1314.0
242,2023-02-12,117,33,5,418.47,2092.3500000000004
243,2024-02-06,87,24,8,337.71,2701.68
244,2023-11-19,81,20,1,76.72,76.72
245,2024-10-10,66,5,4,352.99,1411.96
246,2023-09-14,19,38,9,340.39,3063.5099999999998
247,2023-03-27,135,30,1,318.6,318.6
248,2023-04-15,118,24,1,337.71,337.71
249,2024-07-09,191,43,4,91.31,365.24
250,2024-03-27,42,40,3,258.49,775.47
251,2023-03-15,42,7,7,486.03,3402.21
252,2023-03-03,59,36,3,25.18,75.53999999999999
253,2024-05-26,20,38,1,340.39,340.39
254,2023-02-23,73,16,2,30.48,60.96
255,2024-08-22,17,15,4,253.83,1015.32
256,2024-05-30,27,46,1,468.68,468.68
257,2023-03-01,175,23,1,124.82,124.82
258,2023-03-03,2,12,8,146.0,1168.0
259,2024-12-21,63,29,7,317.99,2225.9300000000003
260,2023-10-01,62,44,8,347.01,2776.08
261,2023-09-28,100,48,4,173.83,695.32
262,2024-08-16,19,15,6,253.83,1522.98
263,2024-11-22,17,29,3,317.99,953.97
264,2024-12-20,69,45,8,196.43,1571.44
265,2024-07-03,167,43,4,91.31,365.24
266,2023-10-02,117,49,3,61.17,183.51
267,2023-03-02,199,21,4,247.28,989.12
268,2024-07-21,81,15,6,253.83,1522.98
269,2024-02-12,39,14,7,306.73,2147.11
270,2023-11-06,36,42,7,324.36,2270.52
271,2024-10-23,168,44,4,347.01,1388.04
272,2023-03-23,173,16,8,30.48,243.84
273,2023-12-26,132,15,7,253.83,1776.8100000000002
274,2023-01-09,153,42,2,324.36,648.72
275,2023-12-09,197,4,8,261.8,2094.4
276,2023-02-11,158,27,9,365.47,3289.2300000000005
277,2023-03-28,196,23,5,124.82,624.0999999999999
278,2023-03-27,29,29,4,317.99,1271.96
279,2024-04-18,196,41,4,117.12,468.48
280,2024-06-28,51,9,4,129.63,518.52
281,2024-03-01,152,43,6,91.31,547.86
282,2024-12-03,14,43,4,91.31,365.24
283,2023-10-01,69,7,7,486.03,3402.21
284,2023-07-28,146,42,7,324.36,2270.52
285,2024-09-26,170,4,5,261.8,1309.0
286,2023-06-13,57,5,5,352.99,1764.95
287,2024-12-04,12,5,8,352.99,2823.92
288,2023-01-09,17,11,7,153.93,1077.51
289,2024-12-09,30,41,7,117.12,819.84
290,2023-02-01,88,28,6,187.05,1122.3000000000002
291,2024-10-12,99,16,7,30.48,213.36
292,2024-01-21,23,41,7,117.12,819.84
293,2024-12-25,129,30,2,318.6,637.2
294,2023-02-23,79,4,2,261.8,523.6
295,2024-02-09,32,2,7,471.74,3302.1800000000003
296,2024-12-08,9,46,7,468.68,3280.76
297,2024-01-17,15,3,7,164.99,1154.93
298,2024-04-04,156,50,5,462.72,2313.6000000000004
299,2024-05-22,152,21,1,247.28,247.28
300,2023-11-28,188,6,2,185.0,370.0
301,2024-04-03,163,43,9,91.31,821.79
302,2024-03-02,27,18,8,454.59,3636.72
303,2024-10-19,109,44,8,347.01,2776.08
304,2023-02-03,76,5,1,352.99,352.99
305,2023-07-25,148,9,6,129.63,777.78
306,2024-11-24,65,20,9,76.72,690.48
307,2024-10-11,177,28,8,187.05,1496.4
308,2023-11-29,109,26,3,122.63,367.89
309,2024-03-28,129,18,4,454.59,1818.36
310,2023-07-22,10,19,3,123.58,370.74
311,2023-05-18,47,3,6,164.99,989.94
312,2023-12-05,123,9,9,129.63,1166.67
313,2023-09-15,59,36,8,25.18,201.44
314,2024-03-02,96,31,4,270.21,1080.84
315,2023-02-26,190,49,2,61.17,122.34
316,2024-12-12,103,17,8,142.93,1143.44
317,2024-12-20,124,23,8,124.82,998.56
318,2024-05-24,86,34,6,163.79,982.74
